,Worst Elbo,Best Elbo,Mean Elbo,Worst Var,Best Var,Mean Var
0,-418.667,-108.183,-170.536,-104.038,-0.002,-2.584
1,-270.098,-42.240,-67.500,-58.854,-0.002,-0.763
2,-369.264,-105.066,-198.673,-129.517,-0.004,-2.222
3,-330.202,-87.902,-172.674,-59.454,-0.004,-1.461
4,-380.375,-83.808,-161.565,-103.953,-0.003,-3.241
5,-374.057,-99.241,-173.588,-80.745,-0.002,-2.044
6,-368.246,-80.574,-156.395,-79.985,-0.003,-1.642
7,-379.770,-69.275,-144.923,-135.117,-0.005,-2.686
8,-450.617,-80.915,-170.944,-88.218,-0.003,-1.943
9,-392.866,-77.003,-140.620,-199.690,-0.005,-2.612
